,Date,Company,Departure,Source,Duration,Stoppages,Arrival,Destination,Price
0,Fri-29Oct2021,Indigo,11:00,Delhi,02h 05m,non-stop,13:05,Mumbai,"5,955"
1,Fri-29Oct2021,Indigo,13:10,Delhi,02h 05m,non-stop,15:15,Mumbai,"5,955"
2,Fri-29Oct2021,Indigo,14:00,Delhi,02h 05m,non-stop,16:05,Mumbai,"5,955"
3,Fri-29Oct2021,Indigo,08:55,Delhi,02h 10m,non-stop,11:05,Mumbai,"5,955"
4,Fri-29Oct2021,SpiceJet,10:40,Delhi,02h 10m,non-stop,12:50,Mumbai,"5,955"
5,Fri-29Oct2021,Indigo,10:10,Delhi,02h 15m,non-stop,12:25,Mumbai,"5,955"
6,Fri-29Oct2021,AirAsia,08:50,Delhi,02h 15m,non-stop,11:05,Mumbai,"5,956"
7,Fri-29Oct2021,GO FIRST,09:05,Delhi,02h 00m,non-stop,11:05,Mumbai,"5,954"
8,Fri-29Oct2021,GO FIRST,10:55,Delhi,02h 05m,non-stop,13:00,Mumbai,"5,954"
9,Fri-29Oct2021,GO FIRST,13:20,Delhi,02h 10m,non-stop,15:30,Mumbai,"5,954"
10,Fri-29Oct2021,Vistara,09:30,Delhi,02h 10m,non-stop,11:40,Mumbai,"5,955"
11,Fri-29Oct2021,Vistara,10:20,Delhi,02h 10m,non-stop,12:30,Mumbai,"5,955"
12,Fri-29Oct2021,GO FIRST,22:45,Delhi,02h 05m,non-stop,00:50,Mumbai,"5,954"
13,Fri-29Oct2021,GO FIRST,21:30,Delhi,02h 05m,non-stop,23:35,Mumbai,"5,954"
14,Fri-29Oct2021,GO FIRST,14:20,Delhi,02h 05m,non-stop,16:25,Mumbai,"5,954"
15,Fri-29Oct2021,SpiceJet,16:20,Delhi,02h 10m,non-stop,18:30,Mumbai,"5,955"
16,Fri-29Oct2021,Vistara,15:10,Delhi,02h 05m,non-stop,17:15,Mumbai,"5,955"
17,Fri-29Oct2021,Vistara,08:50,Delhi,02h 20m,non-stop,11:10,Mumbai,"5,955"
18,Fri-29Oct2021,GO FIRST,15:30,Delhi,05h 35m,1-stop,21:05,Mumbai,"5,954"
19,Fri-29Oct2021,GO FIRST,15:30,Delhi,07h 15m,1-stop,22:45,Mumbai,"5,954"
